Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
North Capitol Hill,2017,434850,438300,444550,440775,446100,447925,449475,451975,457325,459100,463250,464225
North Capitol Hill,2018,480775,490925,473750,475600,480575,481200,485025,488525,492250,495175,494725,492575
North Capitol Hill,2019,490650,487800,480700,475650,466375,464050,463925,456125,462050,462375,463275,464950
North Capitol Hill,2020,467100,469525,474925,481150,479675,481900,481275,478675,477275,478075,486250,488650
North Capitol Hill,2021,491275,495650,497400,472875,483750,502200,510900,507425,511250,518150,522250,526425
North Capitol Hill,2022,529525,544450,570525,578800,581900,575150,560425,601325,602125,591900,583975,0
Sunnyside,2017,320890,323770,332080,334190,333840,333330,328450,326480,329670,328350,332580,334840
Sunnyside,2018,339170,344380,339510,341060,343140,345490,349700,344580,345040,350120,351630,355870
Sunnyside,2019,358380,356300,359320,358400,356980,353940,358040,358720,403160,403110,403350,405280
Sunnyside,2020,407380,409240,413200,416160,416930,438190,434880,433760,438450,441180,447170,452460
Sunnyside,2021,458790,465240,609440,628030,643000,664540,673750,665450,661630,676530,680780,688060
Sunnyside,2022,693090,709600,757050,770210,769010,757000,738440,866240,855400,906260,895190,0
Wellshire,2017,472275,477225,481500,478800,483725,487675,489725,495450,498300,496950,498750,499275
Wellshire,2018,493250,495150,509075,509800,511200,511450,512875,509900,501450,504850,511875,517950
Wellshire,2019,523525,524400,514600,520950,516275,517175,522000,525500,531050,530800,529550,528200
Wellshire,2020,527175,529600,544725,536125,536250,547175,542900,574725,577950,564425,569275,579375
Wellshire,2021,584600,594350,602525,631675,673075,696900,706125,694800,692050,694650,698150,702200
Wellshire,2022,712300,773925,824125,914625,941150,908325,892150,880200,976300,1049375,1025750,0
Hilltop,2017,1105690,1105210,1145460,1152970,1165170,1180210,1171800,1166100,1167470,1172930,1173980,1179000
Hilltop,2018,1161570,1165390,1189350,1207830,1208430,1218300,1210960,1205240,1194180,1197000,1199920,1193630
Hilltop,2019,1200380,1108470,1103150,1099390,1089030,1124390,1115770,1122980,1191000,1191140,1274670,1266160
Hilltop,2020,1265130,1261830,1264320,1257780,1260240,1370160,1283840,1278350,1391600,1402300,1397830,1435220
Hilltop,2021,1457420,1470510,1483970,1553960,1568840,1507990,1477580,1474920,1474990,1505190,1515370,1525560
Hilltop,2022,1575690,1586450,1726040,1970000,1950000,1880000,1838380,2074970,2085000,2199990,2134090,0
Regis,2017,420566,386466,396866,395466,446466,454233,449433,447866,443500,460200,464500,463033
Regis,2018,462866,470600,470900,481666,483500,485433,487866,486966,491800,492700,492400,500766
Regis,2019,499466,498766,503233,499400,506033,509866,508866,515766,539233,539866,544966,549200
Regis,2020,552166,552766,564666,567166,558566,542500,535166,530800,526266,529666,544500,549433
Regis,2021,553433,557133,560800,585433,598433,626200,638766,630766,627333,633366,636533,643766
Regis,2022,653566,673033,721833,746633,751766,733466,706766,688233,672800,621333,627666,0
Auraria,2017,1500000,1500000,1400000,1500000,1500000,1400000,1400000,1400000,1400000,1400000,1400000,1400000
Auraria,2018,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000
Auraria,2019,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1300000,1300000,1300000,1300000
Auraria,2020,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000,1400000,1400000,1400000,1400000
Auraria,2021,1400000,1400000,1400000,1500000,1600000,1700000,1800000,1800000,1800000,1800000,1800000,1800000
Auraria,2022,1800000,1900000,1900000,1900000,1800000,1800000,1700000,2700000,2700000,2700000,2700000,0
Whittier,2017,529875,535950,539875,541125,549450,558250,557550,561925,562125,563025,558650,565050
Whittier,2018,621800,621000,648850,672775,671800,701800,709625,710275,711825,721925,714575,724000
Whittier,2019,723700,729775,731850,729675,729825,720125,721575,720400,697450,694975,701700,705800
Whittier,2020,711650,715575,725875,728700,729075,729200,732625,741600,748050,754200,768100,776675
